zipcode,rate
36749,235.65
36703,235.65
36003,235.65
36008,235.65
36006,235.65
36022,235.65
36051,235.65
36091,235.65
36068,235.65
36067,235.65
36758,235.65
36066,235.65
36562,248.03
36561,248.03
36530,248.03
36507,248.03
36502,248.03
36577,248.03
36567,248.03
36564,248.03
36576,248.03
36574,248.03
36579,248.03
36578,248.03
36580,248.03
36527,248.03
36533,248.03
36532,248.03
36551,248.03
36535,248.03
36536,248.03
36542,248.03
36550,248.03
36526,248.03
36559,248.03
36547,248.03
36511,248.03
36555,248.03
36549,248.03
36374,248.03
36005,248.03
36017,248.03
36016,248.03
36027,248.03
36048,248.03
36072,248.03
36053,248.03
36311,248.03
36317,248.03
35074,195.66
35111,195.66
35115,195.66
36750,195.66
36792,195.66
36793,195.66
35456,195.66
35034,195.66
35035,195.66
35042,195.66
35184,195.66
35188,195.66
35097,195.66
35079,195.66
35121,195.66
35126,195.66
35133,195.66
35146,195.66
35976,195.66
35980,195.66
35952,195.66
35172,195.66
35063,195.66
35049,195.66
35013,195.66
35016,195.66
35031,195.66
35180,195.66
35957,195.66
36860,248.03
36005,248.03
36029,248.03
36037,248.03
36052,248.03
36053,248.03
36081,248.03
36089,248.03
36069,248.03
36061,248.03
36456,248.03
36474,248.03
36015,248.03
36030,248.03
36033,248.03
36032,248.03
36037,248.03
36042,248.03
36071,248.03
35096,166.13
35905,166.13
35907,166.13
36260,166.13
36257,166.13
36202,166.13
36203,166.13
36201,166.13
36265,166.13
36253,166.13
36207,166.13
36250,166.13
36271,166.13
36272,166.13
36254,166.13
36206,166.13
36205,166.13
36204,166.13
36279,166.13
36277,166.13
36879,248.03
36804,248.03
36852,248.03
36863,248.03
36854,248.03
36862,248.03
36801,248.03
36276,248.03
36274,248.03
36850,248.03
36855,248.03
30165,248.03
35983,248.03
35901,248.03
35984,248.03
36275,248.03
36272,248.03
35973,248.03
35959,248.03
35960,248.03
35961,248.03
35967,248.03
35085,195.66
36792,195.66
35115,195.66
35171,195.66
36750,195.66
36790,195.66
36006,195.66
36051,195.66
36793,195.66
36758,195.66
36091,195.66
35035,195.66
35040,195.66
35046,195.66
35045,195.66
36919,248.03
36908,248.03
36916,248.03
36904,248.03
36915,248.03
36910,248.03
36912,248.03
36913,248.03
36922,248.03
36921,248.03
36558,248.03
36751,248.03
36727,248.03
36446,248.03
36436,248.03
36451,248.03
36540,248.03
36784,248.03
36545,248.03
36515,248.03
36524,248.03
36482,248.03
36762,248.03
35082,248.03
35160,248.03
36258,248.03
35072,248.03
36256,248.03
36266,248.03
36251,248.03
36267,248.03
36255,248.03
36276,248.03
36258,248.03
36264,248.03
36262,248.03
36261,248.03
36269,248.03
36273,248.03
36272,248.03
36203,248.03
36331,248.03
36351,248.03
36453,248.03
36346,248.03
36467,248.03
36010,248.03
36009,248.03
36477,248.03
36079,248.03
36311,248.03
36316,248.03
36318,248.03
36330,248.03
36322,248.03
36323,248.03
35662,209.35
35653,209.35
35674,209.35
35654,209.35
35661,209.35
35660,209.35
35672,209.35
35616,209.35
35646,209.35
35582,209.35
36473,248.03
36475,248.03
36401,248.03
36502,248.03
36460,248.03
36454,248.03
36456,248.03
36474,248.03
36033,248.03
36432,248.03
36421,248.03
36471,248.03
36426,248.03
36429,248.03
35089,248.03
35136,248.03
35150,248.03
35151,248.03
36026,248.03
35072,248.03
36080,248.03
36091,248.03
35046,248.03
35010,248.03
35183,248.03
36477,248.03
36453,248.03
36456,248.03
36455,248.03
36474,248.03
36028,248.03
36038,248.03
36483,248.03
36476,248.03
36467,248.03
36421,248.03
36420,248.03
36442,248.03
36034,248.03
36009,248.03
36028,248.03
36035,248.03
36037,248.03
36036,248.03
36046,248.03
36041,248.03
36042,248.03
36049,248.03
36071,248.03
36467,248.03
36323,248.03
36062,248.03
35077,248.03
35087,248.03
35083,248.03
35098,248.03
35976,248.03
35179,248.03
35540,248.03
35504,248.03
35541,248.03
35619,248.03
35070,248.03
35058,248.03
35057,248.03
35055,248.03
35033,248.03
35622,248.03
35621,248.03
35053,248.03
35019,248.03
35016,248.03
35056,248.03
35031,248.03
36362,248.03
36303,248.03
36353,248.03
36361,248.03
36360,248.03
36371,248.03
36345,248.03
36350,248.03
36374,248.03
36010,248.03
36352,248.03
36311,248.03
36317,248.03
36322,248.03
36330,248.03
36703,248.03
36749,248.03
36785,248.03
36702,248.03
36761,248.03
36759,248.03
36701,248.03
36767,248.03
36775,248.03
36773,248.03
36758,248.03
35983,248.03
35981,248.03
35951,248.03
35765,248.03
35978,248.03
35979,248.03
35771,248.03
35988,248.03
35989,248.03
35986,248.03
35984,248.03
35974,248.03
35954,248.03
35957,248.03
35971,248.03
35962,248.03
35959,248.03
35961,248.03
35968,248.03
35963,248.03
35967,248.03
35966,248.03
35975,248.03
36054,235.65
36026,235.65
36020,235.65
36022,235.65
36025,235.65
36024,235.65
36045,235.65
36051,235.65
36078,235.65
36080,235.65
36093,235.65
36092,235.65
35010,235.65
36067,235.65
36066,235.65
36562,248.03
36483,248.03
36504,248.03
36502,248.03
36503,248.03
36543,248.03
36432,248.03
36401,248.03
36420,248.03
36441,248.03
36421,248.03
36427,248.03
36426,248.03
35121,237.91
35907,237.91
35904,237.91
35903,237.91
35902,237.91
35901,237.91
35906,237.91
35905,237.91
35990,237.91
36271,237.91
36272,237.91
35952,237.91
35954,237.91
35956,237.91
35961,237.91
35972,237.91
35574,248.03
35542,248.03
35545,248.03
35546,248.03
35549,248.03
35554,248.03
35594,248.03
35555,248.03
35563,248.03
35559,248.03
35579,248.03
35571,248.03
35651,248.03
35653,248.03
35654,248.03
35565,248.03
35593,248.03
35581,248.03
35582,248.03
35585,248.03
36477,165.50
36340,165.50
36349,165.50
36344,165.50
36453,165.50
36375,165.50
36352,165.50
36442,165.50
36313,165.50
36314,165.50
36316,165.50
36318,165.50
36322,165.50
36305,165.50
36301,165.50
35480,221.63
35491,221.63
35469,221.63
35462,221.63
35463,221.63
35464,221.63
35442,221.63
35443,221.63
35448,221.63
36740,221.63
36786,221.63
35474,221.63
36776,221.63
36756,221.63
35441,221.63
36765,221.63
36742,221.63
36744,221.63
36353,165.50
36373,165.50
36345,165.50
36016,165.50
36319,165.50
36317,165.50
36310,165.50
36351,165.50
36303,165.50
36343,165.50
36352,165.50
36376,165.50
36370,165.50
36350,165.50
36345,165.50
36375,165.50
36303,165.50
36304,165.50
36312,165.50
36305,165.50
36320,165.50
36319,165.50
36321,165.50
36301,165.50
36302,165.50
36322,165.50
35765,248.03
35766,248.03
35764,248.03
35769,248.03
35979,248.03
35978,248.03
35768,248.03
35771,248.03
35776,248.03
35772,248.03
35774,248.03
35745,248.03
35740,248.03
35744,248.03
35748,248.03
35746,248.03
35751,248.03
35752,248.03
35755,248.03
35958,248.03
35966,248.03
35073,195.66
35079,195.66
35094,195.66
35091,195.66
35111,195.66
35117,195.66
35116,195.66
35118,195.66
35119,195.66
35123,195.66
35126,195.66
35130,195.66
35127,195.66
35142,195.66
35139,195.66
35148,195.66
35146,195.66
35226,195.66
35173,195.66
35172,195.66
35209,195.66
35071,195.66
35222,195.66
35218,195.66
35217,195.66
35210,195.66
35212,195.66
35211,195.66
35213,195.66
35216,195.66
35215,195.66
35214,195.66
35061,195.66
35221,195.66
35060,195.66
35068,195.66
35220,195.66
35063,195.66
35062,195.66
35064,195.66
35219,195.66
35021,195.66
35020,195.66
35229,195.66
35228,195.66
35036,195.66
35224,195.66
35048,195.66
35223,195.66
35208,195.66
35244,195.66
35234,195.66
35233,195.66
35232,195.66
35231,195.66
35288,195.66
35237,195.66
35236,195.66
35235,195.66
35243,195.66
35242,195.66
35287,195.66
35259,195.66
35246,195.66
35255,195.66
35249,195.66
35254,195.66
35253,195.66
35285,195.66
35261,195.66
35260,195.66
35266,195.66
35283,195.66
35282,195.66
35270,195.66
35298,195.66
35293,195.66
35292,195.66
35290,195.66
35291,195.66
35297,195.66
35295,195.66
35294,195.66
35296,195.66
35005,195.66
35006,195.66
35015,195.66
35207,195.66
35206,195.66
35444,195.66
35180,195.66
35023,195.66
35181,195.66
35022,195.66
35204,195.66
35203,195.66
35202,195.66
35201,195.66
35205,195.66
35570,248.03
35574,248.03
35544,248.03
35481,248.03
35552,248.03
35592,248.03
35555,248.03
35563,248.03
35586,248.03
35576,248.03
35652,209.35
35677,209.35
35617,209.35
35610,209.35
35648,209.35
35645,209.35
35630,209.35
35633,209.35
35631,209.35
35632,209.35
35634,209.35
35651,184.97
35540,184.97
35650,184.97
35618,184.97
35653,184.97
35654,184.97
35672,184.97
35673,184.97
35603,184.97
35619,184.97
35643,184.97
36877,184.97
36866,184.97
36879,184.97
36854,184.97
36804,184.97
36865,184.97
36832,184.97
36831,184.97
36852,184.97
36830,184.97
36874,184.97
36801,184.97
36870,184.97
36872,184.97
36802,184.97
36803,184.97
36867,184.97
36850,184.97
36849,184.97
35773,214.34
35758,214.34
35652,214.34
35739,214.34
35742,214.34
35671,214.34
35749,214.34
35756,214.34
35757,214.34
35615,214.34
35614,214.34
35613,214.34
35611,214.34
35610,214.34
35612,214.34
35620,214.34
35647,214.34
35649,214.34
36785,235.65
36752,235.65
36761,235.65
36032,235.65
36040,235.65
36043,235.65
36047,235.65
36775,235.65
36804,248.03
36860,248.03
36830,248.03
36013,248.03
36029,248.03
36031,248.03
36039,248.03
36866,248.03
36801,248.03
36075,248.03
36078,248.03
36087,248.03
36083,248.03
36088,248.03
35759,214.34
35767,214.34
35760,214.34
35761,214.34
35762,214.34
35763,214.34
35816,214.34
35773,214.34
35806,214.34
35801,214.34
35776,214.34
35805,214.34
35802,214.34
35815,214.34
35804,214.34
35803,214.34
35807,214.34
35808,214.34
35814,214.34
35810,214.34
35813,214.34
35809,214.34
35812,214.34
35811,214.34
35894,214.34
35824,214.34
35893,214.34
35895,214.34
35897,214.34
35898,214.34
35896,214.34
35899,214.34
35758,214.34
35739,214.34
35741,214.34
35748,214.34
35750,214.34
35749,214.34
35756,214.34
35757,214.34
36784,248.03
36736,248.03
36732,248.03
36786,248.03
36748,248.03
36773,248.03
36745,248.03
36782,248.03
36783,248.03
36754,248.03
36763,248.03
36738,248.03
36764,248.03
36742,248.03
35565,248.03
35570,248.03
35571,248.03
35543,248.03
35548,248.03
35552,248.03
35594,248.03
35593,248.03
35554,248.03
35563,248.03
35564,248.03
35581,248.03
35087,248.03
35951,248.03
35565,248.03
35950,248.03
35760,248.03
35976,248.03
35952,248.03
35980,248.03
35769,248.03
35776,248.03
35975,248.03
35747,248.03
35755,248.03
35754,248.03
35031,248.03
35016,248.03
35956,248.03
35957,248.03
35964,248.03
35962,248.03
35175,248.03
36628,235.92
36560,235.92
36601,235.92
36505,235.92
36568,235.92
36572,235.92
36571,235.92
36575,235.92
36609,235.92
36587,235.92
36582,235.92
36528,235.92
36695,235.92
36619,235.92
36590,235.92
36675,235.92
36608,235.92
36604,235.92
36641,235.92
36663,235.92
36603,235.92
36640,235.92
36602,235.92
36671,235.92
36630,235.92
36607,235.92
36670,235.92
36633,235.92
36605,235.92
36606,235.92
36612,235.92
36541,235.92
36611,235.92
36610,235.92
36617,235.92
36512,235.92
36509,235.92
36616,235.92
36615,235.92
36544,235.92
36660,235.92
36618,235.92
36613,235.92
36693,235.92
36691,235.92
36521,235.92
36685,235.92
36644,235.92
36689,235.92
36652,235.92
36688,235.92
36523,235.92
36525,235.92
36522,235.92
36481,248.03
36460,248.03
36439,248.03
36445,248.03
36502,248.03
36449,248.03
36458,248.03
36480,248.03
36457,248.03
36751,248.03
36033,248.03
36471,248.03
36461,248.03
36444,248.03
35593,248.03
36425,248.03
36401,248.03
36482,248.03
36470,248.03
36475,248.03
36054,235.65
36013,235.65
36029,235.65
36046,235.65
36036,235.65
36041,235.65
36043,235.65
36047,235.65
36052,235.65
36069,235.65
36104,235.65
36105,235.65
36134,235.65
36103,235.65
36102,235.65
36101,235.65
36116,235.65
36108,235.65
36107,235.65
36106,235.65
36132,235.65
36115,235.65
36111,235.65
36110,235.65
36109,235.65
36114,235.65
36112,235.65
36113,235.65
36130,235.65
36121,235.65
36120,235.65
36117,235.65
36119,235.65
36118,235.65
36125,235.65
36124,235.65
36123,235.65
36131,235.65
36133,235.65
36135,235.65
36191,235.65
36140,235.65
36142,235.65
36141,235.65
36177,235.65
36057,235.65
